,init_id,init_year_end,init_type
1,30588,1981,Projeto de Lei
2,30587,1981,Projeto de Lei
3,30586,1981,Projeto de Lei
4,30585,1981,Projeto de Lei
5,30584,1981,Projeto de Lei
6,30583,1981,Projeto de Lei
7,30582,1981,Projeto de Lei
8,30581,1981,Projeto de Lei
9,30580,1981,Projeto de Lei
10,30579,1981,Projeto de Lei
11,30578,1981,Projeto de Lei
12,30577,1981,Projeto de Lei
13,30576,1981,Projeto de Lei
14,30575,1981,Projeto de Lei
15,30574,1981,Projeto de Lei
16,30532,1981,Projeto de Lei
17,30533,1981,Projeto de Lei
18,30534,1981,Projeto de Lei
19,30542,1981,Projeto de Lei
20,30535,1981,Projeto de Lei
21,30536,1981,Projeto de Lei
22,30541,1981,Projeto de Lei
23,30540,1981,Projeto de Lei
24,30539,1981,Projeto de Lei
25,30538,1981,Projeto de Lei
26,30544,1981,Projeto de Lei
27,30537,1981,Projeto de Lei
28,30531,1981,Projeto de Lei
29,30530,1981,Projeto de Lei
30,30529,1981,Projeto de Lei
31,30528,1981,Projeto de Lei
32,30527,1981,Projeto de Lei
33,30526,1981,Projeto de Lei
34,30525,1981,Projeto de Lei
35,30524,1981,Projeto de Lei
36,30522,1981,Projeto de Lei
37,30521,1981,Projeto de Lei
38,30520,1981,Projeto de Lei
39,30519,1981,Projeto de Lei
40,30518,1981,Projeto de Lei
41,30517,1981,Projeto de Lei
42,30516,1981,Projeto de Lei
43,30515,1981,Projeto de Lei
44,30514,1981,Projeto de Lei
45,30513,1981,Projeto de Lei
46,30512,1981,Projeto de Lei
47,30510,1981,Projeto de Lei
48,30509,1981,Projeto de Lei
49,30508,1981,Projeto de Lei
50,30507,1981,Projeto de Lei
51,30506,1981,Projeto de Lei
52,30505,1981,Projeto de Lei
53,30504,1981,Projeto de Lei
54,30503,1981,Projeto de Lei
55,30502,1981,Projeto de Lei
56,30573,1981,Projeto de Lei
57,30572,1981,Projeto de Lei
58,30569,1981,Projeto de Lei
59,30568,1981,Projeto de Lei
60,30567,1981,Projeto de Lei
61,30566,1981,Projeto de Lei
62,30564,1981,Projeto de Lei
63,30563,1981,Projeto de Lei
64,30562,1981,Projeto de Lei
65,30561,1981,Projeto de Lei
66,30560,1981,Projeto de Lei
67,30559,1981,Projeto de Lei
68,30558,1981,Projeto de Lei
69,30557,1981,Projeto de Lei
70,30555,1981,Projeto de Lei
71,30554,1981,Projeto de Lei
72,30551,1981,Projeto de Lei
73,30549,1981,Projeto de Lei
74,30548,1981,Projeto de Lei
75,30547,1981,Projeto de Lei
76,30489,1981,Projeto de Lei
77,30488,1981,Projeto de Lei
78,30487,1981,Projeto de Lei
79,30486,1981,Projeto de Lei
80,30483,1981,Projeto de Lei
81,30482,1981,Projeto de Lei
82,30481,1981,Projeto de Lei
83,30479,1981,Projeto de Lei
84,30478,1981,Projeto de Lei
85,30476,1981,Projeto de Lei
86,30475,1981,Projeto de Lei
87,30474,1981,Projeto de Lei
88,30473,1981,Projeto de Lei
89,30472,1981,Projeto de Lei
90,30471,1981,Projeto de Lei
91,30470,1981,Projeto de Lei
92,30469,1981,Projeto de Lei
93,30468,1981,Projeto de Lei
94,30467,1981,Projeto de Lei
95,30466,1981,Projeto de Lei
96,30462,1981,Projeto de Lei
97,30461,1981,Projeto de Lei
98,30460,1981,Projeto de Lei
99,30459,1981,Projeto de Lei
100,30458,1981,Projeto de Lei
101,30457,1981,Projeto de Lei
102,30456,1981,Projeto de Lei
103,30454,1981,Projeto de Lei
104,30453,1981,Projeto de Lei
105,30452,1981,Projeto de Lei
106,30451,1981,Projeto de Lei
107,30450,1981,Projeto de Lei
108,30449,1981,Projeto de Lei
109,30448,1981,Projeto de Lei
110,30447,1981,Projeto de Lei
111,30446,1981,Projeto de Lei
112,30445,1981,Projeto de Lei
113,30440,1981,Projeto de Lei
114,30439,1981,Projeto de Lei
115,30437,1981,Projeto de Lei
116,30436,1981,Projeto de Lei
117,30435,1981,Projeto de Lei
118,30433,1981,Projeto de Lei
119,30432,1981,Projeto de Lei
120,30431,1981,Projeto de Lei
121,30430,1981,Projeto de Lei
122,30428,1981,Projeto de Lei
123,30427,1981,Projeto de Lei
124,30426,1981,Projeto de Lei
125,30425,1981,Projeto de Lei
126,30424,1981,Projeto de Lei
127,30421,1981,Projeto de Lei
128,30420,1981,Projeto de Lei
129,30419,1981,Projeto de Lei
130,30418,1981,Projeto de Lei
131,30417,1981,Projeto de Lei
132,30416,1981,Projeto de Lei
133,30415,1981,Projeto de Lei
134,30413,1981,Projeto de Lei
135,30412,1981,Projeto de Lei
136,30411,1981,Projeto de Lei
137,30410,1981,Projeto de Lei
138,30409,1981,Projeto de Lei
139,30408,1981,Projeto de Lei
140,30407,1981,Projeto de Lei
141,30405,1981,Projeto de Lei
142,30404,1981,Projeto de Lei
143,30403,1981,Projeto de Lei
144,30402,1981,Projeto de Lei
145,30400,1981,Projeto de Lei
146,30399,1981,Projeto de Lei
147,30398,1981,Projeto de Lei
148,30397,1981,Projeto de Lei
149,30396,1981,Projeto de Lei
150,30395,1981,Projeto de Lei
151,30394,1981,Projeto de Lei
152,30393,1981,Projeto de Lei
153,30388,1981,Projeto de Lei
154,30386,1981,Projeto de Lei
155,30385,1981,Projeto de Lei
156,30501,1981,Projeto de Lei
157,30500,1981,Projeto de Lei
158,30499,1981,Projeto de Lei
159,30498,1981,Projeto de Lei
160,30497,1981,Projeto de Lei
161,30496,1981,Projeto de Lei
162,30495,1981,Projeto de Lei
